연번,업 소 명,소재지,지정메뉴,전화번호,업태
1,(주)온누리푸드온누리장작구이,인천광역시 부평구 동암산로 10 (십정동),오리훈제,032-526-9292,한식
2,1982삼계정,"인천광역시 부평구 안남로417번길 20, 2층 (청천동)",녹두삼계탕,032-512-1982,한식
3,갈비가,"인천광역시 부평구 부평대로 301 (청천동,남광센트렉스 111호)",속초코다리냉면,032-363-3787,한식
4,경복궁삼계탕,인천광역시 부평구 평천로 553(삼산동),들깨삼계탕,032-511-1494,한식
5,곱창마당,"인천광역시 부평구 길주남로 109,1층 (부개동,송현주택)",한우곱창모듬구이,032-271-2292,한식
6,금강산추어탕,인천광역시 부평구 부평대로63번길 10-11 (부평동),추어탕,032-527-8118,한식
7,뉴욕반점,인천광역시 부평구부평대로87번길 4(부평동),"삼선짬뽕,찹쌀탕수육",032-516-4488,중식
8,더히든키친,"인천광역시 부평구 신트리로22번길 15-14 (부평동, 1층 일부)",바질페스토파스타,032-272-7276,양식
9,덕수갈비,인천광역시 부평구 마장로 402(청천동),왕갈비탕,032-517-4070,한식
10,동강해물탕,"인천광역시 부평구 대정로 93, 웰링턴 1층 103호 (부평동)",해물탕,032-524-9166,한식
11,동암아구해물탕,인천광역시 부평구 백범로468번길 45 (십정동),"해물찜,해물탕",032-435-0233,한식
12,들내음 들깨칼국수,인천광역시 부평구 부흥로 257-7 (부평동),팥칼국수,032-515-4151,한식
13,랑랑,인천광역시 부평구부평문화로80번길 16(부평동),"산더미마라전골,마라샹궈",0507-1303-3693,중식
14,명가설렁탕,"인천광역시 부평구 주부토로66번길 14,1층 102호(부평동)","양지,도가니,수육",032-330-8277,한식
15,명가한방삼계탕,인천광역시 부평구 부평대로17번길 21 (부평동),한방삼계탕,032-517-5501,한식
16,명품삼계탕,인천광역시 부평구 마장로 253 (산곡동),삼계탕,032-517-8777,한식
17,몽순이해물탕,"인천광역시 부평구 장제로 340번길 10,1층(삼산동,아이빌)",해물탕,032-330-3358,한식
18,미담맛을논하다,마장로384번길 12(청천동),"중화냉면,동파육",032-511-2008,중식
19,미래가든,인천광역시 부평구 영성서로 23-9 (삼산동),소양념갈비,032-506-3126,한식
20,밀레,인천광역시 부평구 경원대로 1130번길 7(십정동),만조 풍기 파스타,032-502-1600,양식
21,밀채바지락칼국수,인천광역시 부평구 경원대로1232번길 2 (산곡동),바지락칼국수,032-508-0120,한식
22,밥도둑간장게장,인천광역시 부평구 경원대로1367번길 42-12(부평동),간장게장,032-515-5951,한식
23,밥상한우,인천광역시 부평구 산곡동 307-26,한우꽃등심,032-507-9615,한식
24,변사또남원추어탕,"인천광역시 부평구 마장로 186-1 (산곡동,정림빌딩 1층)",추어탕,032-527-7533,한식
25,보릿골정찬,"인천광역시 부평구 장제로 350, 2층,3층 (삼산동)","보리밥, 보쌈",032-519-4155,한식
26,부일식당,인천광역시 부평구 경원대로 1270 (부평동),한우생등심,032-522-1700,한식
27,부평불고기3578,인천광역시 부평구 길주로 494번길 17(청천동),소불고기,032-524-3578,한식
28,북경소관,장제로 48(부평동),"짬뽕,탕수육",0507-1351-8868,중식
29,북촌순두부,인천광역시 부평구 부평문화로 51-1 (부평동),해물순두부찌개,032-525-6600,한식
30,삿뽀로부평점㈜엔타스,인천광역시 부평구 길주로 643(삼산동),모듬스페셜,032-525-5533,일식
31,샐돈키친,"인천광역시 부평구 갈월서로 46, 상가동 지층 1호 (갈산동, 태화아파트)",커플카츠,032-512-5036,양식
32,서촌이가,인천광역시 부평구 경원대로1377번길45-9(부평동),모듬생선찜,032-529-8200,한식
33,세겹살,인천광역시 부평구 부흥로 257-11(부평동),세겹살,032-508-0092,한식
34,세븐스플로어,"인천광역시 부평구 부평대로 15, 7층 (부평동, 부평서파빌딩)",루꼴라감베리피자,0507-1305-3027,양식
35,소금빛풍천장어구이,인천광역시 부평구 길주로547번길 5 (갈산동),복분자장어구이,032-513-9995,한식
36,신선설농탕 부평점,인천광역시 부평구 장제로 206 (부평동),설렁탕,032-514-3966,한식
37,신한우왕국정육식당,"인천광역시 부평구 백범로 538, 2층(십정동)",갈비탕,032-424-5763,한식
38,아라페로(A L'APERO),"인천광역시 부평구 길주로595번길 21 (갈산동, 1층)",오리가슴살마그레트&크림밤,0507-1341-2864,양식
39,아메리칸트레이,"인천광역시 부평구 부평문화로 70-2, 2층(부평동)",과콰몰리쉬림프 오픈 샌드위치,032-511-8883,양식
40,아우라지삼산점,"인천광역시 부평구 장제로 346 (삼산동,2층,3층)",메기매운탕,032-525-4155,한식
41,양평신내서울해장국,인천광역시 부평구 마장로 191 (산곡동),"내장탕,해장국",032-504-4342,한식
42,에그브레이크,"인천광역시 부평구 부평대로39-5(부평동, 1층)",에그베네딕트,,양식
43,에픽,"인천광역시 부평구 경원대로1363번길 8  (부평동, 1층)",마레크레마,032-512-6692,양식
44,오구당당논우렁쌈밥,인천광역시 부평구 경원대로1377번길 47 (부평동),"우렁쌈밥, 쭈꾸미해물찜",032-505-3388,한식
45,옥천식당,인천광역시 부평구 안남로 447 (청천동),도가니탕,032-502-2623,한식
46,옹기네무지락,인천광역시 부평구  부흥북로5번길 19(부평동),김치전골,032-507-8892,한식
47,용마루집,인천광역시 부평구 원길로 28 (청천동),"보쌈,두부",032-522-1199,한식
48,우정숯불갈비,"인천광역시 부평구 안남로 261(산곡동, 전방프라자 206호)",수제돼지갈비(국내산),032-507-0709,한식
49,우프,"인천광역시 부평구 충선로203번길 12, 2층 (삼산동, 뉴존프라자 201호)",만조리조또,032-515-1154,양식
50,원조감나무집참옻닭오리전문점,인천광역시 부평구 부평문화로115번길 17 (부평동),참옻닭,032-507-6769,한식
51,육시락부평점,인천광역시 부평구 부흥로 257-13(부평동),한우물육회,032-506-2268,한식
52,은수저,인천광역시 부평구 화랑로47번길 24(산곡동),연잎밥알찬밥상정식,032-502-0633,한식
53,일미 숯불고추장삼겹살(구:돈앤우숯불소금구이),"인천광역시 부평구 주부토로 33(부평동,(1층))",곱창구이,032-361-9229,한식
54,전석기푸드,인천광역시 부평구 길주남로 119-1 (부개동),전통왕족발,032-527-7878,한식
55,전통복회관,인천광역시 부평구 주부토로 29 (부평동),복어지리,032-527-3300,일식
56,정기향옛날육개장,"인천광역시 부평구동암남로 29, 102호(십정동)",육개장,032-432-6787,한식
57,제주최강흑돼지,인천광역시 부평구 부흥로385번길 7(부개동),제주흑돼지오겹살,032-507-3392,한식
58,조은삼계탕,인천광역시 부평구 시장로71번길 5(부평동),능이오리백숙,032-515-5252,한식
59,진향 중화요리,신트리로6번길 3(부평동),"유니짜장면,누룽지탕",0507-1463-9006,중식
60,착한낙지,인천광역시 부평구 대정로 17(부평동),낙지볶음덮밥,032-507-9007,한식
61,참맛원주추어탕,"인천광역시 부평구 부흥로 309, 1층 (부평동)",추어탕,032-505-5819,한식
62,천리향양꼬치구이,인천광역시 부평구 열우물로49번길 28 (십정동),찹쌀해물누룽지탕,032-422-6888,중식
63,철원양평해장국,인천광역시 부평구 청농로 2 (청천동),해장국,032-501-0353,한식
64,풍년가(家),인천광역시 부평구 부평북로 111 (청천동),돼지갈비,032-521-3077,한식
65,함경 1990,인천광역시 부평구 백범로468번길 32 (십정동),꿩만두,032-434-2759,한식
66,함흥관,"인천광역시 부평구 마장로 10,2~3층(십정동)",활전복갈비탕,032-527-4004,한식
67,해조톳오리,인천광역시 부평구 동수로 107 (부평동),"오리,누룽지백숙",032-523-5511,한식
68,현미순두부 두부명가,"인천광역시 부평구 마장로 265, (산곡동,1층)",현미순두부,032-546-6116,한식
69,황가복,"인천광역시 부평구 마장로 245, 1층,2층(산곡동)",돼지짬뽕,032-330-0353,중식
70,흥남면옥,인천광역시 부평구 마장로 138 (산곡동),소숯불갈비,032-504-9332,한식
